,,Curriculum,,Normal,
803,,0.192,,0.243,0.243
804,,0.053,,0.241,0.241
805,,0.053,,0.245,0.245
806,,0.148,,0.168,0.168
807,,0.074,,0.176,0.176
808,,0.073,,0.344,0.344
809,,0.025,,0.088,0.088
810,,0.069,,0.159,0.159
811,,0.051,,0.138,0.138
812,,0.271,,0.208,0.208
813,,0.039,,0.117,0.117
814,,0.063,,0.44,0.44
815,,0.017,,0.11,0.11
816,,0.023,,0.088,0.088
817,,0.223,,0.186,0.186
818,,0.055,,0.048,0.048
819,,0.062,,0.176,0.176
820,,0.065,1.804,0.349,0.349
821,,0.096,,0.119,0.119
822,,0.031,,0.337,0.337
823,,0.007,,0.269,0.269
824,,0.111,,0.157,0.157
825,,0.089,,0.222,0.222
826,,0.259,,0.16,0.16
827,,0.14,,0.165,0.165
828,,0.032,,0.412,0.412
829,,0.017,,0.112,0.112
830,,0.061,,0.129,0.129
831,,0.026,,0.256,0.256
832,,0.066,,0.134,0.134
833,,0.208,,0.091,0.091
834,,0.069,,0.089,0.089
835,,0.035,,0.075,0.075
836,,0.033,,0.111,0.111
837,,0.025,,0.101,0.101
838,,0.013,,0.144,0.144
839,,0.05,,0.192,0.192
840,,0.061,1.429,0.125,0.125
841,,0.02,,0.158,0.158
842,,0.025,,0.247,0.247
843,,0.113,,0.142,0.142
844,,0.341,,0.546,0.546
845,,0.039,,0.055,0.055
846,,0.058,,0.031,0.031
847,,0.015,,0.137,0.137
848,,0.075,,0.319,0.319
849,,0.08,,0.206,0.206
850,,0.057,,0.086,0.086
851,,0.018,,0.509,0.509
852,,0.024,,0.134,0.134
853,,0.017,,0.168,0.168
854,,0.032,,0.286,0.286
855,,0.042,,0.542,0.542
856,,0.156,,0.214,0.214
857,,0.035,,0.157,0.157
858,,0.187,,0.254,0.254
859,,0.05,,0.109,0.109
860,,0.012,1.396,0.048,0.048
